traj,frame,time_ps,outcome,first_frame,state,score,SerO-C,C-Oleave,SerH-SerO,SerH-His,SerH-Oleave,His-Oleave
refined02_micro_relax_5cyc_rep8_1500step.nc,5,0.01,tetint_basin,33,early_region,0.08008781277036989,2.0758564472198486,1.8383822441101074,1.1262762546539307,1.328249454498291,2.934103488922119,3.6526708602905273
refined02_micro_relax_5cyc_rep8_1500step.nc,19,0.038,tetint_basin,33,early_region,0.0808080913534317,2.093848705291748,1.8733234405517578,1.3547770977020264,1.246734619140625,3.186612606048584,3.8901684284210205
refined02_micro_relax_5cyc_rep8_1500step.nc,3,0.006,tetint_basin,33,early_region,0.08247576764835535,2.0821480751037598,1.8422931432724,1.0415260791778564,1.4134479761123657,2.8463399410247803,3.609511375427246
refined02_micro_relax_5cyc_rep7_1500step.nc,4,0.008,reactant_basin,32,early_region,0.08566334559847193,2.0679078102111816,1.8170897960662842,1.0250084400177002,1.5784683227539062,2.6962509155273438,3.6393167972564697
refined02_micro_relax_5cyc_rep8_1500step.nc,2,0.004,tetint_basin,33,early_region,0.08609354425933148,2.0809545516967773,1.8438138961791992,1.0252659320831299,1.4466769695281982,2.7898337841033936,3.5928568840026855
refined02_micro_relax_5cyc_rep7_1500step.nc,15,0.03,reactant_basin,32,early_region,0.08739120995478816,2.1403884887695312,1.8386226892471313,0.996575653553009,1.709913969039917,2.966238498687744,3.7479493618011475
refined02_micro_relax_5cyc_rep3_1500step.nc,23,0.046,none,,early_region,0.09622438877136524,2.228663206100464,1.8078476190567017,1.003175973892212,1.7908401489257812,2.8948159217834473,3.87992262840271
refined02_micro_relax_5cyc_rep4_1500step.nc,21,0.042,reactant_basin,48,early_region,0.0982818228553416,2.146620273590088,1.842179536819458,1.0441033840179443,1.6409943103790283,2.70133376121521,3.558990955352783
refined02_micro_relax_5cyc_rep1_1500step.nc,8,0.016,tetint_basin,13,early_region,0.09897740147432679,1.877760887145996,1.9416382312774658,1.326150894165039,1.188931941986084,2.8104896545410156,3.5617876052856445
refined02_micro_relax_5cyc_rep7_1500step.nc,16,0.032,reactant_basin,32,early_region,0.09905185321665043,2.148542642593384,1.8276231288909912,0.9794598817825317,1.7481554746627808,2.9365227222442627,3.7509799003601074
refined02_micro_relax_5cyc_rep6_1500step.nc,10,0.02,tetint_basin,21,early_region,0.09974759224373983,1.912267804145813,1.983985424041748,1.3248271942138672,1.257605791091919,2.801605224609375,3.5931575298309326
refined02_micro_relax_5cyc_rep4_1500step.nc,20,0.04,reactant_basin,48,early_region,0.0997555682505353,2.123202323913574,1.8499627113342285,1.024712085723877,1.6441582441329956,2.697145462036133,3.5601468086242676
refined02_micro_relax_5cyc_rep7_1500step.nc,3,0.006,reactant_basin,32,early_region,0.09987829332638817,2.0644166469573975,1.81855309009552,0.9850084185600281,1.6238908767700195,2.6746675968170166,3.63503098487854
refined02_micro_relax_5cyc_rep4_1500step.nc,15,0.03,reactant_basin,48,early_region,0.10030552654898,2.0436315536499023,1.8713600635528564,1.054552674293518,1.5962849855422974,2.564579486846924,3.549255847930908
refined02_micro_relax_5cyc_rep4_1500step.nc,16,0.032,reactant_basin,48,early_region,0.10065733420439138,2.0533556938171387,1.8681721687316895,1.0402241945266724,1.6131412982940674,2.600191831588745,3.5526740550994873
refined02_micro_relax_5cyc_rep7_1500step.nc,17,0.034,reactant_basin,32,early_region,0.10198530863130843,2.1607584953308105,1.8150122165679932,0.9908484220504761,1.762450933456421,2.897418737411499,3.7557544708251953
refined02_micro_relax_5cyc_rep7_1500step.nc,2,0.004,reactant_basin,32,early_region,0.10315402214275643,2.061826705932617,1.8233766555786133,0.9829944968223572,1.625656008720398,2.6636276245117188,3.6278882026672363
refined02_micro_relax_5cyc_rep4_1500step.nc,14,0.028,reactant_basin,48,early_region,0.10461605353477316,2.0384902954101562,1.8738454580307007,1.042019009590149,1.5973725318908691,2.54253888130188,3.546142816543579
refined02_micro_relax_5cyc_rep7_1500step.nc,18,0.036000000000000004,reactant_basin,32,early_region,0.1047268406943833,2.1758108139038086,1.7999811172485352,1.0116528272628784,1.7736889123916626,2.854410409927368,3.763650894165039
refined02_micro_relax_5cyc_rep4_1500step.nc,17,0.034,reactant_basin,48,early_region,0.10474112628171964,2.06640625,1.8664960861206055,1.0137362480163574,1.6393013000488281,2.637744903564453,3.5573806762695312
refined02_micro_relax_5cyc_rep4_1500step.nc,19,0.038,reactant_basin,48,early_region,0.10532980965241881,2.1011576652526855,1.8559997081756592,1.001132607460022,1.6568588018417358,2.688328742980957,3.5609822273254395
refined02_micro_relax_5cyc_rep4_1500step.nc,22,0.044,reactant_basin,48,early_region,0.10638173938945497,2.1693787574768066,1.8318909406661987,1.0346769094467163,1.667723536491394,2.707824230194092,3.5595703125
refined02_micro_relax_5cyc_rep4_1500step.nc,18,0.036000000000000004,reactant_basin,48,early_region,0.10809486855521899,2.0818729400634766,1.861965537071228,0.9951936602592468,1.6584303379058838,2.667402982711792,3.559945583343506
refined02_micro_relax_5cyc_rep4_1500step.nc,13,0.026000000000000002,reactant_basin,48,early_region,0.11048966985949724,2.0349249839782715,1.8754100799560547,1.0209691524505615,1.6028573513031006,2.5384557247161865,3.543738842010498
refined02_micro_relax_5cyc_rep4_1500step.nc,9,0.018000000000000002,reactant_basin,48,early_region,0.111352900850162,2.029792308807373,1.8746707439422607,1.0477054119110107,1.521209478378296,2.6441988945007324,3.5378217697143555
refined02_micro_relax_5cyc_rep8_1500step.nc,25,0.05,tetint_basin,33,early_region,0.1115881052871641,2.0483579635620117,1.9361572265625,1.4627575874328613,1.1953140497207642,3.0964467525482178,3.959960699081421
refined02_micro_relax_5cyc_rep5_1500step.nc,45,0.09,reactant_basin,72,early_region,0.11197809435098097,2.047900915145874,1.8010998964309692,1.0396836996078491,1.7251625061035156,3.24092435836792,4.279517650604248
refined02_micro_relax_5cyc_rep4_1500step.nc,8,0.016,reactant_basin,48,early_region,0.11253602605999904,2.0261945724487305,1.8735873699188232,1.057943344116211,1.4997360706329346,2.6817867755889893,3.5383903980255127
refined02_micro_relax_5cyc_rep4_1500step.nc,10,0.02,reactant_basin,48,early_region,0.11288957594600235,2.0327513217926025,1.874790906906128,1.026524305343628,1.5549321174621582,2.603817939758301,3.5379791259765625
refined02_micro_relax_5cyc_rep5_1500step.nc,46,0.092,reactant_basin,72,early_region,0.11446291155965782,2.0760467052459717,1.8103444576263428,1.0430914163589478,1.7467057704925537,3.236764430999756,4.3007965087890625
refined02_micro_relax_5cyc_rep4_1500step.nc,7,0.014,reactant_basin,48,early_region,0.11450152478320687,2.024928331375122,1.8684802055358887,1.0631543397903442,1.4861685037612915,2.7165708541870117,3.5412886142730713
refined02_micro_relax_5cyc_rep7_1500step.nc,19,0.038,reactant_basin,32,early_region,0.11495933731917765,2.191277027130127,1.784819483757019,1.0205711126327515,1.7990000247955322,2.815042495727539,3.774959087371826
refined02_micro_relax_5cyc_rep4_1500step.nc,12,0.024,reactant_basin,48,early_region,0.1153783617548328,2.034310817718506,1.8763008117675781,1.0050482749938965,1.6036884784698486,2.5491669178009033,3.5410609245300293
refined02_micro_relax_5cyc_rep4_1500step.nc,11,0.022,reactant_basin,48,early_region,0.11577247930072368,2.0346171855926514,1.8765804767608643,1.006948471069336,1.5871058702468872,2.573366403579712,3.539510726928711
refined02_micro_relax_5cyc_rep4_1500step.nc,6,0.012,reactant_basin,48,early_region,0.11795638026036145,2.0277621746063232,1.8659688234329224,1.054856538772583,1.4918512105941772,2.731733560562134,3.5456151962280273
refined02_micro_relax_5cyc_rep4_1500step.nc,5,0.01,reactant_basin,48,early_region,0.12126092388972698,2.032205104827881,1.8637646436691284,1.0504859685897827,1.498868703842163,2.7307844161987305,3.550520181655884
refined02_micro_relax_5cyc_rep4_1500step.nc,4,0.008,reactant_basin,48,early_region,0.12371848253941212,2.0371005535125732,1.8619725704193115,1.0555756092071533,1.499816656112671,2.7187485694885254,3.556342124938965
refined02_micro_relax_5cyc_rep4_1500step.nc,3,0.006,reactant_basin,48,early_region,0.12498530915359263,2.041415214538574,1.8591084480285645,1.0749499797821045,1.4886075258255005,2.703402519226074,3.562493324279785
refined02_micro_relax_5cyc_rep4_1500step.nc,23,0.046,reactant_basin,48,early_region,0.12605870096746385,2.1910386085510254,1.8208085298538208,1.0003931522369385,1.7222158908843994,2.716291904449463,3.561539888381958
refined02_micro_relax_5cyc_rep4_1500step.nc,2,0.004,reactant_basin,48,early_region,0.1266205157077646,2.047586679458618,1.85700523853302,1.0981957912445068,1.4741541147232056,2.686469078063965,3.569857120513916
refined02_micro_relax_5cyc_rep5_1500step.nc,40,0.08,reactant_basin,72,early_region,0.1271965571792437,2.011024236679077,1.782679557800293,1.0565985441207886,1.7157601118087769,3.0465962886810303,4.190232753753662
refined02_micro_relax_5cyc_rep5_1500step.nc,41,0.082,reactant_basin,72,early_region,0.12817050920902448,2.003695487976074,1.782291054725647,1.0385205745697021,1.7229640483856201,3.0944557189941406,4.2065558433532715
refined02_micro_relax_5cyc_rep3_1500step.nc,24,0.048,none,,early_region,0.13120594202643832,2.247739791870117,1.8069281578063965,0.9589918851852417,1.8499213457107544,2.902966022491455,3.889767646789551
refined02_micro_relax_5cyc_rep5_1500step.nc,44,0.088,reactant_basin,72,early_region,0.1314386290422887,2.0251073837280273,1.795140266418457,0.9839961528778076,1.756410837173462,3.2149548530578613,4.257950305938721
refined02_micro_relax_5cyc_rep5_1500step.nc,34,0.068,reactant_basin,72,early_region,0.1321553286375588,2.125534772872925,1.8349367380142212,1.070169448852539,1.6692535877227783,2.8751187324523926,4.074930667877197
refined02_micro_relax_5cyc_rep5_1500step.nc,35,0.07,reactant_basin,72,early_region,0.1335433037405404,2.1051106452941895,1.825123906135559,1.0694218873977661,1.6970890760421753,2.861250877380371,4.096649646759033
refined02_micro_relax_5cyc_rep5_1500step.nc,29,0.058,reactant_basin,72,early_region,0.13932116264439304,2.2023746967315674,1.8689334392547607,1.1009095907211304,1.4507946968078613,3.08493971824646,3.9544570446014404
refined02_micro_relax_5cyc_rep5_1500step.nc,30,0.06,reactant_basin,72,early_region,0.1396200671284003,2.1929917335510254,1.8665016889572144,1.044840693473816,1.534501314163208,3.042391300201416,3.9752390384674072
refined02_micro_relax_5cyc_rep1_1500step.nc,9,0.018000000000000002,tetint_basin,13,early_region,0.1397289393729082,1.8698424100875854,1.964941143989563,1.4012871980667114,1.128735065460205,2.815002918243408,3.560964584350586
refined02_micro_relax_5cyc_rep7_1500step.nc,20,0.04,reactant_basin,32,early_region,0.14025428389875969,2.2094969749450684,1.7742706537246704,0.997861921787262,1.850028157234192,2.7801570892333984,3.7877907752990723
refined02_micro_relax_5cyc_rep5_1500step.nc,33,0.066,reactant_basin,72,early_region,0.14154867484066505,2.145601749420166,1.8440920114517212,1.0231584310531616,1.668861985206604,2.907949686050415,4.051173210144043
refined02_micro_relax_5cyc_rep5_1500step.nc,39,0.078,reactant_basin,72,early_region,0.14173712846377087,2.025092363357544,1.7864711284637451,1.0173152685165405,1.7506229877471924,2.9930496215820312,4.1736159324646
refined02_micro_relax_5cyc_rep5_1500step.nc,42,0.084,reactant_basin,72,early_region,0.14409275277691747,2.0022199153900146,1.7854231595993042,0.9753337502479553,1.7642767429351807,3.131916046142578,4.222463607788086
refined02_micro_relax_5cyc_rep6_1500step.nc,11,0.022,tetint_basin,21,early_region,0.14445397634679202,1.922018051147461,1.994632601737976,1.430413007736206,1.1725053787231445,2.799553632736206,3.605680465698242
refined02_micro_relax_5cyc_rep5_1500step.nc,28,0.056,reactant_basin,72,early_region,0.14489757218022853,2.2073254585266113,1.8717609643936157,1.120262622833252,1.4034785032272339,3.110973834991455,3.937558650970459
refined02_micro_relax_5cyc_rep5_1500step.nc,47,0.094,reactant_basin,72,early_region,0.14665173231032302,2.108661413192749,1.8249105215072632,0.986086368560791,1.8289048671722412,3.208617925643921,4.324009418487549
